result_name,category,candidate_count,domains,model_or_method,has_llm_judge_scores,judge_models,has_structural_metrics,final_status,main_source_path,main_table_path,notes_for_paper
Main five-domain SGHA pipeline,main,15,5,SGHA_FULL / Qwen/Qwen3.5-9B,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/experimental_setup_source_packet_20260725_140634/main_domain_pipeline_counts.csv,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_1_SGHA_PIPELINE_YIELD.tex,Use in main paper as yield table.
SGHA vs Native AI-Scientist-v2 Qwen,main,30,5,SGHA_FULL vs Native AI-Scientist-v2 Qwen,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_native_ai_scientist_v2_final_comparison,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_2_FORMULATION_QUALITY_MAIN.tex,Included in four-method table.
SGHA vs Native AI-Scientist-v2 Claude Opus,main/appendix,30,5,Native AI-Scientist-v2 Claude Opus,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_ai_scientist_v2_claude_opus_latest_sso_hardcoded_comparison_20260726_070917/formulation_only_llm_judge_20260726_071613,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_2_FORMULATION_QUALITY_MAIN.tex,Frontier-generator stress test; not compute/information matched.
SGHA vs MOOSE-Star,main/appendix,30,5,MOOSE-Star public HC model,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_moose_star_public_model_comparison_20260726_012538/formulation_only_llm_judge_20260726_013946,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_2_FORMULATION_QUALITY_MAIN.tex,Public-model baseline; HC-only.
Four-method formulation-quality table,main,60,5,SGHA + Native Qwen + Native Claude + MOOSE,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/paper_ready_result_tables_with_moose_20260726_172426,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_2_FORMULATION_QUALITY_MAIN.tex,Primary result table.
Structural artifact comparison,main,60,5,four methods,no,not applicable,yes,PASS,[COAUTHOR_RESULTS_PACKET]/CSV_TABLES/table_3_structural_artifacts.csv,[COAUTHOR_RESULTS_PACKET]/MAIN_PAPER_TABLES/TABLE_3_STRUCTURAL_ARTIFACTS.tex,Completeness is deterministic; not a score.
Multi-judge robustness,appendix,30,5,SGHA vs Native Qwen,yes,multiple calibrated/recovered judges,yes,PASS_WITH_CAVEATS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_native_ai_scientist_v2_final_comparison/formulation_only_multi_judge_robustness_20260723_023948,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A5_MULTI_JUDGE_ROBUSTNESS.tex,Earlier robustness plus caveats.
Best candidate per domain,appendix,30,5,SGHA vs Native Qwen,yes,4 judges in original absolute diagnostics,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_native_ai_scientist_v2_final_comparison/absolute_score_diagnostics/best_sgha_and_native_per_domain.csv,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A6_BEST_CANDIDATES_BY_DOMAIN.tex,Absolute-score diagnostics.
Cap-warning/sensitivity audit,appendix,30,5,SGHA vs Native Qwen,yes,original formulation-only judge,yes,PASS_WITH_WARNINGS,[MAIN_PAPER_RUN_NAMESPACE]/sgha_vs_native_ai_scientist_v2_final_comparison/formulation_only_evaluation_20260723_010323/postprocess/cap_violations_unblinded.csv,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A10_JUDGE_CAP_WARNINGS_AND_SENSITIVITY.tex,Four cap warnings; conclusion robust in sensitivity.
Personalized generation,diagnostic,4,3 completed + 2 skipped,personalized SGHA,yes,personalized judge panel,yes,PASS_PARTIAL_PROFILES,[PROFILE_CONDITIONED_RUN_NAMESPACE],[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D1_PERSONALIZED_PIPELINE_COUNTS.tex,Diagnostic only unless paper uses personalization section.
