domain,method,candidate_id,title,problem_definition_clarity_10,technical_specificity_10,well_posedness_10,assumption_boundary_clarity_10,formalizability_10,nontriviality_10,scope_control_10,source_grounded_specificity_10,ambiguity_hygiene_10,overall_formulation_quality_10,recommended_action,confidence,cap_violation_flag,rationale
bandits,SGHA_FULL,family:01,Characterizing Identifiability Limits of Structured Bandits Under Piecewise Non-Stationarity,8,7,6,7,6,8,8,8,8,7,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This is a strong research problem formulation that successfully elevates a specific algorithmic failure into a fundamental theoretical question about identifiability limits. The problem is clearly bounded, technically specific, and addresses non-trivial questions about the interaction between structural constraints and non-stationarity. However, the formalization is incomplete - key technical objects like the network structure constraints, reward function, and measurement model need precise mathematical definition. The candidate honestly acknowledges these ambiguities, which is commendable. While the formal skeleton is present, the missing technical details prevent this from being a fully well-posed problem statement."
bandits,SGHA_FULL,family:02,Characterizing the Fundamental Limits of Robust Bayesian Exploration Under Non-Lipschitz Dynamics,8,7,7,8,7,8,4,8,7,6,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This formulation presents a theoretically ambitious and well-grounded research problem that shifts focus from algorithmic design to fundamental limits characterization. The technical setup is solid with clear mathematical notation and explicit assumption violations. However, the scope is too broad, combining multiple complex concepts (non-Lipschitz dynamics, adversarial poisoning, Bayesian exploration) without sufficient integration. The core ambiguities around defining the non-Lipschitz regime and information-theoretic criteria need resolution for the problem to be fully formalizable."
bandits,SGHA_FULL,family:03,Characterizing the Non-Convex Failure Regime of Diffusion-Based Contextual Bandits,7,6,6,7,6,7,6,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,yes,"This formulation addresses a theoretically interesting question about fundamental limits of diffusion-based inference in bandits. The problem is well-motivated and goes beyond simple algorithm application to characterize impossibility boundaries. However, the core technical objects suffer from definitional ambiguity - particularly around what specific type of non-convexity causes failure and how to measure it. The formal problem statement mentions 'curvature and convexity conditions' without defining them precisely. While the candidate honestly acknowledges these ambiguities, they are central enough to limit formalizability."
bandits,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Time-Varying Feedback Quality in Bandits: Adaptive Exploration with Uncertain Information Channels,6,5,4,4,4,6,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The candidate identifies a meaningful gap in bandit theory regarding time-varying feedback quality, which is well-motivated by practical considerations. However, the formulation suffers from critical missing components: no formal problem statement, undefined key technical terms, and missing problem setup. While the core idea has merit and novelty potential, the lack of mathematical precision prevents rigorous follow-up work. The problem is more than a simple 'apply X to Y' but needs substantial technical development to become a usable research formulation."
bandits,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_002,Bandits with Adversarial Arm Execution: Robust Learning When Your Choices Don't Match Reality,7,6,4,5,5,8,7,6,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,yes,"This formulation presents a genuinely novel and non-trivial research problem that addresses a clear gap in bandit literature. The distinction between action selection and execution creates an interesting new layer of uncertainty. However, the formulation suffers from missing critical formal components - no formal problem statement, assumptions, or key definitions are provided. While the intuitive description is clear and well-motivated, the lack of mathematical precision prevents this from being a strong research formulation despite its promising conceptual foundation."
bandits,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_003,Bandits with Zero-Inflated Rewards: Efficient Learning When Most Arms Yield No Signal,7,6,4,5,5,7,8,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation identifies a genuinely interesting structural assumption in bandit problems - zero-inflation in reward generation - that appears to have practical relevance and theoretical depth. The core insight about wasted exploration on systematically zero-reward arms is compelling and the distinction from existing work (heavy-tailed bandits, partial feedback) is technically meaningful. However, the formulation suffers from missing critical formal components. Without explicit assumptions, formal problem statement, or acknowledgment of ambiguous terms, the technical rigor needed for a strong research problem is incomplete. The regret bound claims suggest the problem is formalizable, but key technical details about the mixture model structure remain unspecified."
in_context_learning,SGHA_FULL,family:01,Characterizing the Depth-Window Phase Transition in Linear Attention Mechanisms,8,7,7,8,7,7,8,8,8,7,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This is a strong research problem formulation that moves beyond empirical validation to seek fundamental characterization of Linear Attention limitations. The problem is clearly bounded (Linear Attention, depth > 2 layers, phase transitions), technically specific with formal variables, and well-grounded in source literature. The formal problem statement provides a clear mathematical skeleton with P(D,W) and critical thresholds. However, the formulation needs refinement in defining the performance metric P and specifying the relationship between D* and W*. The candidate honestly acknowledges key ambiguities and questions its own assumptions about phase transition sharpness, demonstrating good scientific rigor."
in_context_learning,SGHA_FULL,family:02,Characterizing the Fundamental Robustness Boundary of Autoregressive and Masked In-Context Learning,7,6,7,8,6,7,4,7,8,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation addresses a clear research gap regarding the exclusion of masked models from ICL robustness studies. The problem is well-bounded and technically specific enough to support follow-up work. However, the scope combines several complex concepts (architectural comparison, robustness boundaries, distributional shift) that may be too broad for a single focused investigation. The formal problem statement provides good structure but lacks concrete operational definitions for the key boundary B. The ambition to derive 'fundamental' structural constraints represents a significant leap from the source evidence of research bias."
in_context_learning,SGHA_FULL,family:03,Characterizing the Failure Regime of Linear Intervention Methods Under Neural Superposition,7,6,5,8,6,7,3,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation addresses an important theoretical question about the limits of linear intervention methods in mechanistic interpretability. The problem is clearly stated and well-grounded in source literature. However, it suffers from combining multiple complex concepts without sufficient precision in key definitions, particularly around measuring superposition density and intervention efficacy. The formal framework provides a skeleton but lacks operational specificity needed for rigorous follow-up."
in_context_learning,SGHA_FULL,family:04,Robustness Phase Transitions in In-Context Learning Under Adversarial Feedback,7,6,6,7,6,6,4,8,8,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation presents a reasonably well-structured research problem with clear mathematical notation and explicit assumption handling. However, it suffers from scope issues by combining multiple concepts (noise, counterfactuals, phase transitions, prompt engineering) and fundamentally represents applying phase transition analysis to ICL robustness rather than identifying a novel research direction. The formal framework provides a good skeleton but key technical details remain underspecified."
in_context_learning,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,The ICL Information Bottleneck: When Demonstration Redundancy Hurts Performance,6,4,3,4,3,7,7,3,3,4,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The candidate presents an interesting hypothesis about information bottlenecks in ICL that challenges conventional assumptions. The core problem is reasonably clear and focused. However, the formulation suffers from significant gaps: no formal problem statement, undefined key technical terms, and missing problem setup. While the idea has merit and novelty potential, it needs substantial refinement to become a rigorous research problem. The information-theoretic framing suggests formalizability, but critical details are missing."
in_context_learning,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_002,Teaching by What NOT to Do: Negative Demonstrations for Robust In-Context Learning,7,6,4,5,5,7,6,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation presents a clear and potentially novel research direction in ICL by focusing on negative demonstrations as a robustness mechanism. The core hypothesis is well-articulated and the experimental design shows systematic thinking with specific proportion variations. However, the formulation suffers from significant gaps in formal specification. The absence of a formal problem statement, explicit assumptions, and precise definitions of key concepts limits its immediate formalizability. While the idea shows promise and nontriviality, substantial refinement is needed to transform this from a compelling research direction into a rigorous problem formulation."
in_context_learning,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_003,The ICL Forgetting Curve: Quantifying Temporal Dynamics in In-Context Learning,7,5,4,5,5,7,8,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation presents a clear, focused hypothesis about temporal dynamics in ICL that addresses a specific gap in current understanding. The core idea of quantifying position-specific decay is well-bounded and non-trivial. However, the absence of formal problem setup, explicit assumptions, and acknowledgment of definitional ambiguities significantly weakens the formulation's rigor. While the research direction is promising, substantial refinement is needed to define measurement approaches, specify what constitutes 'influence,' and formalize the decay curve concept before this becomes a well-posed research problem."
in_context_learning,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_004,Teaching Models to Trust: Uncertainty-Aware In-Context Learning with Demonstration Reliability Signals,6,5,4,4,4,7,5,6,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The formulation presents an interesting and potentially novel research direction in ICL by questioning the equal reliability assumption of demonstrations. The core hypothesis is clear and the motivation is well-articulated. However, the formulation suffers from significant technical vagueness and missing formal structure. The absence of formal problem statement, assumptions, and acknowledgment of ambiguities severely limits the rigor. While the idea has merit, it needs substantial refinement to become a well-posed research problem suitable for systematic investigation."
reasoning_models_test_time_compute,SGHA_FULL,family:01,Characterizing the Identifiability Boundary of Bootstrapped Reasoning under Unverifiable Feedback,8,7,7,8,7,8,8,8,7,7,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This is a well-formulated theoretical research problem that successfully identifies a fundamental boundary analysis question in bootstrapped reasoning. The problem statement is clear and bounded, focusing specifically on identifiability conditions under unverifiable feedback rather than general robustness. The formal problem statement provides a good skeleton with defined entities, variables, and objective. The assumption analysis is particularly strong, explicitly identifying which assumptions are relaxed versus maintained. The candidate demonstrates good ambiguity hygiene by acknowledging undefined terms. However, several key technical concepts need more precise mathematical definitions to achieve full formalizability. The theoretical nature and focus on fundamental limits rather than method application gives it strong nontriviality."
reasoning_models_test_time_compute,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Adaptive Test-Time Compute: Dynamically Allocating Reasoning Effort Based on Problem Uncertainty,6,5,4,3,4,6,6,4,3,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The candidate presents a clear and technically relevant problem in test-time compute allocation with good motivation and scope control. However, it suffers from significant formulation gaps. The core concept of 'uncertainty signals' driving allocation decisions is never formally defined, nor are the mechanisms for measuring uncertainty or optimizing allocation specified. While the three-dimensional approach (sampling, search, verification) provides structure, the problem lacks the mathematical rigor needed for a strong research formulation. The missing formal problem statement, assumptions, and key definitions prevent this from being well-posed despite its promising direction."
offline_reinforcement_learning_arxiv,SGHA_FULL,family:01,Characterizing the Failure Regime of Q-Learning in Offline RL via Distributional Shift,8,7,7,8,7,6,8,8,8,7,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This is a well-formulated research problem that moves beyond simple application to characterize fundamental failure boundaries. The formal problem statement provides a clear mathematical skeleton with specific convergence criteria and threshold identification. The candidate demonstrates strong technical specificity with defined entities, variables, and objectives. Source grounding is excellent with verified gaps and supporting literature. The honest acknowledgment of ambiguous terms shows good hygiene. However, nontriviality is limited by the 'characterize failure of X under Y' structure, and key technical definitions remain incomplete despite being acknowledged."
