original_candidate_id,domain,title,n,completed_judges,mean_problem_definition_clarity_10,std_problem_definition_clarity_10,mean_technical_specificity_10,std_technical_specificity_10,mean_well_posedness_10,std_well_posedness_10,mean_assumption_boundary_clarity_10,std_assumption_boundary_clarity_10,mean_formalizability_10,std_formalizability_10,mean_nontriviality_10,std_nontriviality_10,mean_scope_control_10,std_scope_control_10,mean_source_grounded_specificity_10,std_source_grounded_specificity_10,mean_ambiguity_hygiene_10,std_ambiguity_hygiene_10,mean_overall_formulation_quality_10,std_overall_formulation_quality_10
evolutionary_bandits_rank01_hypothesis_d698748f53977669,bandits,A unified robust contextual bandit framework.,4,4,4.5,0.5774,4.5,0.5774,3.0,0.0,3.75,0.5,3.0,0.0,5.25,0.9574,3.5,0.5774,4.75,1.7078,2.25,0.5,4.25,0.5
evolutionary_bandits_rank02_hypothesis_fbbcec26b3dde196,bandits,A unified partial-feedback algorithm integrating drift-aware structural regularization with heavy-tailed robustness.,4,4,4.0,0.8165,3.5,0.5774,2.75,0.9574,3.25,0.5,2.25,0.5,4.25,0.5,3.0,0.0,5.0,0.8165,2.0,0.8165,3.5,0.5774
evolutionary_bandits_rank03_hypothesis_beacc11a684a4bcd,bandits,A unified partial-feedback algorithm integrating structural regularization with heavy-tailed robustness.,4,4,4.0,0.8165,3.75,0.5,2.75,0.9574,3.75,0.9574,2.5,0.5774,4.75,0.5,4.25,0.9574,5.75,1.5,2.5,0.5774,3.5,0.5774
evolutionary_in_context_learning_rank01_hypothesis_00f6e83701fa8047,in_context_learning,LoRA-adapted transformer models performing in-context learning.,4,4,3.75,0.5,4.25,0.5,2.75,0.5,3.75,0.5,2.75,0.5,5.0,0.0,4.5,1.0,5.0,1.633,2.25,0.5,3.75,0.5
evolutionary_in_context_learning_rank02_hypothesis_55bd5a39586f0ae5,in_context_learning,LoRA adaptation on Linear Transformers,3,3,4.6667,0.5774,5.0,1.0,3.3333,0.5774,4.3333,0.5774,3.0,0.0,6.0,0.0,5.6667,1.5275,5.6667,2.5166,2.6667,0.5774,4.3333,0.5774
evolutionary_in_context_learning_rank03_hypothesis_70873012f78cdcf8,in_context_learning,Transformer,3,3,3.3333,0.5774,4.3333,0.5774,2.3333,0.5774,3.6667,0.5774,2.3333,0.5774,5.0,0.0,3.0,0.0,5.3333,1.5275,1.6667,0.5774,3.3333,0.5774
evolutionary_in_context_learning_rank04_hypothesis_fa173b09151ef4cd,in_context_learning,Few-shot in-context learning with parameter-efficient fine-tuning,4,4,3.25,0.5,4.25,0.5,2.5,0.5774,3.5,0.5774,2.5,0.5774,4.75,0.5,2.75,0.5,5.25,1.2583,2.0,0.8165,3.25,0.5
evolutionary_offline_reinforcement_learning_arxiv_rank01_hypothesis_8b2ad05e2395a200,offline_reinforcement_learning_arxiv,Offline Q-learning evaluation and algorithm certification frameworks.,4,4,3.5,0.5774,3.5,0.5774,2.5,0.5774,3.5,0.5774,2.25,0.5,5.25,0.5,4.25,0.5,5.25,1.2583,1.75,0.5,3.75,0.5
evolutionary_reasoning_models_test_time_compute_rank01_hypothesis_8c830430218e7a3d,reasoning_models_test_time_compute,Self-verification mechanisms within test-time compute scaling frameworks.,4,4,4.75,0.5,4.5,0.5774,3.5,0.5774,4.75,0.5,3.0,0.0,6.0,0.0,5.0,1.4142,5.75,1.2583,2.75,0.5,4.5,0.5774
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank01_hypothesis_df9fff9fcc33f2bb,uncertainty_calibration_conformal_prediction_arxiv,Calibration-Efficient Preconditioned Conformal Prediction.,3,3,4.3333,0.5774,4.3333,1.1547,2.6667,0.5774,3.0,1.0,2.6667,0.5774,5.3333,0.5774,5.3333,1.1547,6.3333,1.1547,2.0,1.0,4.0,1.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank02_hypothesis_dce7920092167909,uncertainty_calibration_conformal_prediction_arxiv,High-Dimensional Preconditioned Conformal Prediction.,3,3,4.3333,0.5774,3.3333,0.5774,2.3333,0.5774,2.6667,0.5774,2.3333,0.5774,5.0,0.0,4.6667,1.1547,5.3333,1.5275,1.6667,0.5774,3.6667,1.1547
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank03_hypothesis_6ae4546910f72632,uncertainty_calibration_conformal_prediction_arxiv,adjacent domain for Implicit conflict on 'computational cost': positive evidence (addresses) vs negative evidence (limited_by) across papers,3,3,5.0,0.0,3.6667,0.5774,3.0,0.0,2.3333,0.5774,2.6667,0.5774,4.6667,0.5774,5.3333,1.1547,5.0,1.0,2.3333,1.1547,4.0,0.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank04_hypothesis_48336230fab99b9c,uncertainty_calibration_conformal_prediction_arxiv,"Shift-robust, single-pass conformal prediction systems.",4,4,4.0,0.0,3.5,0.5774,2.5,0.5774,2.5,0.5774,2.75,0.5,4.5,0.5774,3.75,0.5,5.5,1.291,2.25,0.5,3.75,0.5
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank05_hypothesis_e48e70c744a8f846,uncertainty_calibration_conformal_prediction_arxiv,Split Conformal Prediction,4,4,4.25,0.5,4.75,0.5,3.25,0.5,3.25,0.5,3.0,0.0,5.0,0.8165,5.0,1.1547,6.5,0.5774,2.75,0.5,4.0,0.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank06_hypothesis_7baf83e71442baf9,uncertainty_calibration_conformal_prediction_arxiv,Preconditioned Single-Forward Conformal Prediction with Exchangeability Adjustment.,4,4,4.25,0.5,4.25,0.9574,2.75,0.5,3.0,1.4142,2.5,0.5774,5.25,0.5,6.25,0.5,4.75,0.5,2.0,0.8165,3.75,0.5
