candidate_id,domain,title,n_judges,mean_overall,max_overall
evolutionary_reasoning_models_test_time_compute_rank01_hypothesis_8c830430218e7a3d,reasoning_models_test_time_compute,Self-verification mechanisms within test-time compute scaling frameworks.,4,4.5,5.0
evolutionary_in_context_learning_rank02_hypothesis_55bd5a39586f0ae5,in_context_learning,LoRA adaptation on Linear Transformers,3,4.3333,5.0
evolutionary_bandits_rank01_hypothesis_d698748f53977669,bandits,A unified robust contextual bandit framework.,4,4.25,5.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank01_hypothesis_df9fff9fcc33f2bb,uncertainty_calibration_conformal_prediction_arxiv,Calibration-Efficient Preconditioned Conformal Prediction.,3,4.0,5.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank05_hypothesis_e48e70c744a8f846,uncertainty_calibration_conformal_prediction_arxiv,Split Conformal Prediction,4,4.0,4.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank03_hypothesis_6ae4546910f72632,uncertainty_calibration_conformal_prediction_arxiv,adjacent domain for Implicit conflict on 'computational cost': positive evidence (addresses) vs negative evidence (limited_by) across papers,3,4.0,4.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank04_hypothesis_48336230fab99b9c,uncertainty_calibration_conformal_prediction_arxiv,"Shift-robust, single-pass conformal prediction systems.",4,3.75,4.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank06_hypothesis_7baf83e71442baf9,uncertainty_calibration_conformal_prediction_arxiv,Preconditioned Single-Forward Conformal Prediction with Exchangeability Adjustment.,4,3.75,4.0
evolutionary_in_context_learning_rank01_hypothesis_00f6e83701fa8047,in_context_learning,LoRA-adapted transformer models performing in-context learning.,4,3.75,4.0
evolutionary_offline_reinforcement_learning_arxiv_rank01_hypothesis_8b2ad05e2395a200,offline_reinforcement_learning_arxiv,Offline Q-learning evaluation and algorithm certification frameworks.,4,3.75,4.0
evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank02_hypothesis_dce7920092167909,uncertainty_calibration_conformal_prediction_arxiv,High-Dimensional Preconditioned Conformal Prediction.,3,3.6667,5.0
evolutionary_bandits_rank03_hypothesis_beacc11a684a4bcd,bandits,A unified partial-feedback algorithm integrating structural regularization with heavy-tailed robustness.,4,3.5,4.0
evolutionary_bandits_rank02_hypothesis_fbbcec26b3dde196,bandits,A unified partial-feedback algorithm integrating drift-aware structural regularization with heavy-tailed robustness.,4,3.5,4.0
evolutionary_in_context_learning_rank03_hypothesis_70873012f78cdcf8,in_context_learning,Transformer,3,3.3333,4.0
evolutionary_in_context_learning_rank04_hypothesis_fa173b09151ef4cd,in_context_learning,Few-shot in-context learning with parameter-efficient fine-tuning,4,3.25,4.0
