candidate_id,original_candidate_id,domain,method,title,problem_definition_clarity_10,technical_specificity_10,well_posedness_10,assumption_boundary_clarity_10,formalizability_10,nontriviality_10,scope_control_10,source_grounded_specificity_10,ambiguity_hygiene_10,overall_formulation_quality_10,recommended_action,confidence,strengths,weaknesses,cap_violations,rationale,novelty_caveat
Candidate 001,family:01,bandits,SGHA_FULL,Characterizing Identifiability Limits of Structured Bandits Under Piecewise Non-Stationarity,8,7,6,7,6,8,8,8,8,7,PROMISING_NEEDS_REFINEMENT,HIGH,"[""Clear problem definition focusing on fundamental identifiability limits rather than algorithmic fixes"", ""Well-motivated transition from specific algorithm failure (Network Lasso) to general theoretical question"", ""Strong technical specificity with formal mathematical notation and precise regime characterization"", ""Excellent scope control - focused on single theoretical question about identifiability boundaries"", ""High nontriviality - addresses fundamental limits rather than applying existing methods"", ""Strong source grounding with verified gaps and supporting papers"", ""Honest acknowledgment of multiple ambiguous terms and missing definitions""]","[""Incomplete formal problem statement - lacks precise definition of network structure constraints and reward function"", ""Missing specification of feedback/measurement model beyond mentioning 'unbounded regret'"", ""Ambiguous definition of what constitutes the 'network structure' mathematically"", ""Unclear how distributional shifts interact with network constraints specifically"", ""Success criterion mentions 'precise boundary' but doesn't specify what mathematical object this boundary is""]",[],"This is a strong research problem formulation that successfully elevates a specific algorithmic failure into a fundamental theoretical question about identifiability limits. The problem is clearly bounded, technically specific, and addresses non-trivial questions about the interaction between structural constraints and non-stationarity. However, the formalization is incomplete - key technical objects like the network structure constraints, reward function, and measurement model need precise mathematical definition. The candidate honestly acknowledges these ambiguities, which is commendable. While the formal skeleton is present, the missing technical details prevent this from being a fully well-posed problem statement.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 002,native_ai_scientist_v2_006,uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,Conformal Prediction After Model Compression: Uncertainty Calibration in Pruned and Quantized Neural Networks,7,6,4,5,4,6,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a specific gap: conformal prediction assumes model identity between calibration and inference, but compression breaks this assumption"", ""Well-bounded problem focusing on the intersection of model compression and conformal prediction coverage guarantees"", ""Concrete compression techniques specified (pruning, quantization) with measurable targets (2-4x reduction)"", ""Proposes specific solution approach (compression-aware non-conformity score design)""]","[""Missing formal problem statement limits formalizability and well-posedness assessment"", ""No explicit assumptions or problem setup provided, making it unclear what mathematical framework underlies the approach"", ""Ambiguity around key terms like 'compression-induced representation distortion' and 'distortion estimation' not acknowledged"", ""Limited source grounding with only general references rather than specific paper IDs or detailed gap analysis"", ""Lacks formal definition of what constitutes 'near-guaranteed coverage' versus standard CP guarantees""]",[],"This formulation identifies a concrete and important problem at the intersection of conformal prediction and model compression. The core insight that compression breaks CP's model identity assumption is clear and technically sound. However, the formulation suffers from missing critical components: no formal problem statement, undefined key technical terms, and insufficient mathematical setup. While the problem is more than a simple 'apply X to Y' due to the specific theoretical challenge of coverage guarantee preservation, the lack of formal grounding prevents higher scoring.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 003,native_ai_scientist_v2_004,uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,Black-Box Conformal Prediction via Knowledge Distillation: Efficient Uncertainty Quantification at Inference Time,7,6,4,4,5,7,4,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of computational bottleneck in conformal prediction inference"", ""Specific quantitative target (10-100x speedup improvement)"", ""Novel combination of knowledge distillation with conformal prediction preservation"", ""Concrete application domains specified (image classification, time series, OOD detection)""]","[""Missing formal problem statement reduces formalizability and well-posedness"", ""No explicit assumptions or problem setup provided"", ""Combines multiple loosely connected concepts (knowledge distillation, conformal prediction, black-box optimization, multiple application domains)"", ""Key technical mechanisms undefined (how teacher-student similarity preserves coverage, what constitutes 'sufficient similarity')"", ""Missing definitions for critical terms like 'black-box settings' and coverage preservation conditions"", ""Limited source grounding with only brief related work context""]",[],"The formulation identifies a clear computational problem in conformal prediction and proposes a novel approach combining knowledge distillation with uncertainty quantification. However, the scope spans multiple loosely related concepts without tight integration, and critical technical details are missing. The absence of formal problem statement, assumptions, and key definitions significantly limits the formulation's precision and immediate formalizability.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 004,native_ai_scientist_v2_001,reasoning_models_test_time_compute,NATIVE_AI_SCIENTIST_V2,Adaptive Test-Time Compute: Dynamically Allocating Reasoning Effort Based on Problem Uncertainty,6,5,4,3,4,6,6,4,3,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core problem of dynamic compute allocation vs fixed budgets"", ""Specific technical dimensions identified (sampling, search depth, verification)"", ""Well-motivated efficiency-quality trade-off objective"", ""Concrete benchmarks and performance targets mentioned"", ""Distinguishes from prior work through uncertainty-driven approach""]","[""Missing formal problem statement despite technical nature"", ""No definition of 'uncertainty signals' or how they are measured"", ""Assumptions about problem setup not provided"", ""Ambiguous terms like 'reasoning trajectory quality' undefined"", ""No specification of what constitutes optimal allocation"", ""Lacks mathematical formulation of the allocation problem""]",[],"The candidate presents a clear and technically relevant problem in test-time compute allocation with good motivation and scope control. However, it suffers from significant formulation gaps. The core concept of 'uncertainty signals' driving allocation decisions is never formally defined, nor are the mechanisms for measuring uncertainty or optimizing allocation specified. While the three-dimensional approach (sampling, search, verification) provides structure, the problem lacks the mathematical rigor needed for a strong research formulation. The missing formal problem statement, assumptions, and key definitions prevent this from being well-posed despite its promising direction.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 005,native_ai_scientist_v2_001,uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,Conformal Prediction Under Selective Sampling: Theory and Practice for Active Learning,7,6,4,5,5,6,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a specific failure mode: CP guarantees breaking under selective sampling in active learning"", ""Well-bounded problem scope focusing on the intersection of conformal prediction and active learning"", ""Concrete proposed solution direction with drift-aware correction terms"", ""Identifies a meaningful gap between theoretical assumptions (exchangeability) and practical deployment""]","[""Missing formal problem statement limits mathematical precision and formalizability"", ""No explicit assumptions or problem setup provided, weakening well-posedness"", ""Key terms like 'representation drift' and 'shift estimation' lack precise definitions"", ""Limited source grounding with only general references rather than specific technical gaps"", ""Unclear what constitutes 'near-guarantees' or acceptable degradation levels""]",[],"The formulation identifies a clear and specific problem at the intersection of conformal prediction and active learning, with good scope control. However, it suffers from missing formal components that prevent it from being a strong research problem formulation. The absence of formal problem statement, explicit assumptions, and precise definitions of key technical concepts significantly limits its well-posedness and formalizability. While the problem appears non-trivial and addresses a real gap, the formulation needs substantial refinement to support rigorous follow-up work.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 006,family:02,uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,Characterizing the Fundamental Limits of Calibration Under Extreme Non-Exchangeable Shifts,7,6,6,7,6,6,4,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear theoretical focus on fundamental limits rather than algorithmic improvements"", ""Well-grounded in source context with verified gap identification"", ""Formal problem statement with mathematical notation and clear objective"", ""Honest acknowledgment of key ambiguities including 'extreme' shifts and measurement model"", ""Algorithm-agnostic approach targeting general impossibility results""]","[""Combines multiple loosely related concepts (federated learning, conformal prediction, exchangeability, calibration) reducing focus"", ""Essentially applies theoretical analysis to existing federated conformal prediction setting"", ""Key technical terms like 'extreme non-exchangeable shifts' and 'collapse' lack precise definitions"", ""Measurement model for quantifying non-exchangeability is unclear"", ""Success criterion relies on deriving conditions but structural approach is underspecified""]",[],"This formulation presents a theoretically motivated problem seeking fundamental limits of calibration under non-exchangeability in federated settings. While the core question is clear and the formal structure is present, the formulation suffers from combining multiple concepts and essentially applying theoretical analysis to an existing setting. The ambiguities around 'extreme' shifts and the measurement model, though acknowledged, limit the precision needed for rigorous follow-up work.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 007,family:01,reasoning_models_test_time_compute,SGHA_FULL,Characterizing the Identifiability Boundary of Bootstrapped Reasoning under Unverifiable Feedback,8,7,7,8,7,8,8,8,7,7,PROMISING_NEEDS_REFINEMENT,HIGH,"[""Clear problem definition focusing on identifiability boundaries rather than just robustness testing"", ""Well-structured formal problem statement with defined entities, variables, and objective"", ""Explicit identification and relaxation of key assumptions (verifiability of training data)"", ""Strong theoretical framing that elevates beyond 'apply X to Y' to fundamental boundary analysis"", ""Good scope control - focused on identifiability conditions rather than bundling multiple concepts"", ""Honest acknowledgment of ambiguous terms requiring further definition"", ""Strong source grounding with verified gaps and supporting papers""]","[""Key terms like 'spurious pattern' and 'unverifiable feedback' lack precise mathematical definitions"", ""The convergence criterion and success metrics need more formal specification"", ""The relationship between verifier reliability and identifiability boundaries could be more precisely characterized"", ""Missing operational definitions for measuring 'divergence from target policy P'""]",[],"This is a well-formulated theoretical research problem that successfully identifies a fundamental boundary analysis question in bootstrapped reasoning. The problem statement is clear and bounded, focusing specifically on identifiability conditions under unverifiable feedback rather than general robustness. The formal problem statement provides a good skeleton with defined entities, variables, and objective. The assumption analysis is particularly strong, explicitly identifying which assumptions are relaxed versus maintained. The candidate demonstrates good ambiguity hygiene by acknowledging undefined terms. However, several key technical concepts need more precise mathematical definitions to achieve full formalizability. The theoretical nature and focus on fundamental limits rather than method application gives it strong nontriviality.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 008,native_ai_scientist_v2_003,in_context_learning,NATIVE_AI_SCIENTIST_V2,The ICL Forgetting Curve: Quantifying Temporal Dynamics in In-Context Learning,7,5,4,5,5,7,8,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core hypothesis about temporal decay effects in ICL with specific directional prediction"", ""Well-focused scope examining position-specific contribution dynamics rather than bundling multiple concepts"", ""Non-trivial research question that goes beyond simple 'apply X to Y' by proposing a fundamental property of ICL"", ""Concrete measurable phenomenon (position-specific contributions across context lengths)"", ""Challenges explicit assumption in the field about equal contribution of context positions""]","[""Missing formal problem statement significantly limits well-posedness and formalizability"", ""No explicit assumptions or problem setup provided, leaving key variables and measurement approaches undefined"", ""Ambiguity around what constitutes 'influence' or 'contribution' of demonstrations not acknowledged"", ""Source grounding relies on generic paper references without specific gaps or concrete prior findings"", ""Technical specificity lacks details on how 'temporal decay curves' would be measured or parameterized""]",[],"This formulation presents a clear, focused hypothesis about temporal dynamics in ICL that addresses a specific gap in current understanding. The core idea of quantifying position-specific decay is well-bounded and non-trivial. However, the absence of formal problem setup, explicit assumptions, and acknowledgment of definitional ambiguities significantly weakens the formulation's rigor. While the research direction is promising, substantial refinement is needed to define measurement approaches, specify what constitutes 'influence,' and formalize the decay curve concept before this becomes a well-posed research problem.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 009,family:06,uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,Calibration-Optimal Single-Pass Uncertainty via Structural Mismatch Bounds,7,6,5,6,5,7,8,8,8,6,PROMISING_NEEDS_REFINEMENT,HIGH,"[""Clear problem statement focusing on fundamental limits of single-pass uncertainty estimation versus ensemble methods"", ""Well-controlled scope avoiding loose bundling of concepts"", ""Strong source grounding with verified gaps and extensive supporting papers"", ""Excellent ambiguity hygiene - explicitly acknowledges missing definitions for structural mismatch, representational capacity, and calibration error"", ""Non-trivial theoretical investigation beyond simple 'apply X to Y' approaches"", ""Formal mathematical setup with defined entities and variables""]","[""Critical undefined terms undermine formalizability - structural mismatch Δ lacks precise mathematical definition"", ""Feedback/measurement model is explicitly noted as unclear regarding how calibration error depends on structural mismatch"", ""Phase transition concept mentioned but not rigorously characterized"", ""Success criterion is somewhat vague about what constitutes 'unacceptably large' calibration error"", ""The connection between uncertainty manifold complexity and representational capacity needs formal specification""]",[],"This formulation presents a theoretically motivated and well-scoped research problem investigating fundamental limits of single-pass uncertainty estimation. The problem is clearly bounded and addresses a specific gap between single-pass and ensemble methods. The candidate demonstrates strong source grounding and excellent awareness of ambiguous terms. However, the formalization is incomplete due to undefined key concepts like structural mismatch and representational capacity. While the mathematical skeleton is present, critical components need precise definition before the problem becomes fully formalizable. The theoretical nature and focus on fundamental limits elevates this beyond routine applications, but the missing formal specifications prevent it from reaching the highest scores.",Novelty potential judged only from provided text; no external novelty check performed.
Candidate 010,family:05,uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,Characterizing Calibration Collapse in Federated Conformal Prediction Under Arbitrary Heterogeneity,7,8,7,8,7,6,4,8,8,6,PROMISING_NEEDS_REFINEMENT,HIGH,"[""Clear formal problem statement with specific mathematical formulation of coverage divergence conditions"", ""Explicit identification of the exchangeability assumption violation as the core technical boundary"", ""Well-defined entities, variables, and measurement model for federated conformal prediction"", ""Strong source grounding with verified gaps and supporting papers"", ""Honest acknowledgment of ambiguous terms like 'calibration collapse' and 'robustness'""]","[""Combines multiple loosely related concepts: impossibility boundaries, constructive alternatives, benchmark suites, and mechanism characterization"", ""The core approach is essentially 'test conformal prediction under federated conditions' which is a routine stress test"", ""Scope is unfocused, mixing theoretical characterization with benchmark development"", ""The formal problem statement lacks precision on what constitutes 'arbitrary heterogeneity'"", ""Success criterion is disjunctive (impossibility OR constructive proof) making the problem ill-posed""]",[],"The formulation has strong technical foundations and clear assumption boundaries, but suffers from scope creep and falls into the 'apply X to Y' pattern (conformal prediction to federated settings). While the formal mathematical setup is reasonable, the combination of theoretical characterization, benchmark development, and multiple evaluation objectives dilutes the focus. The core research question about coverage guarantees under non-exchangeability is valid but not sufficiently novel beyond routine stress testing.",Novelty potential judged only from provided text; no external novelty check performed.
