method,domain,original_candidate_id,title,candidate_id_examples,judge_count,n,mean_problem_definition_clarity_10,std_problem_definition_clarity_10,se_problem_definition_clarity_10,mean_technical_specificity_10,std_technical_specificity_10,se_technical_specificity_10,mean_well_posedness_10,std_well_posedness_10,se_well_posedness_10,mean_assumption_boundary_clarity_10,std_assumption_boundary_clarity_10,se_assumption_boundary_clarity_10,mean_formalizability_10,std_formalizability_10,se_formalizability_10,mean_nontriviality_10,std_nontriviality_10,se_nontriviality_10,mean_scope_control_10,std_scope_control_10,se_scope_control_10,mean_source_grounded_specificity_10,std_source_grounded_specificity_10,se_source_grounded_specificity_10,mean_ambiguity_hygiene_10,std_ambiguity_hygiene_10,se_ambiguity_hygiene_10,mean_overall_formulation_quality_10,std_overall_formulation_quality_10,se_overall_formulation_quality_10
MOOSE_STAR_PUBLIC_MODEL,bandits,moose_star_public_bandits_001,MOOSE-Star hypothesis from Adaptive selection of arms in bandit problems inspired by the randomized algorithm for user selection in the inspiration paper.,candidate_19,5,5,1.8,0.4,0.2,2.0,0.0,0.0,1.2,0.4,0.2,1.0,0.0,0.0,1.2,0.4,0.2,2.6,0.4899,0.2449,3.2,0.4,0.2,3.0,0.6325,0.3162,1.4,0.4899,0.2449,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,bandits,moose_star_public_bandits_002,MOOSE-Star hypothesis from Multi-agent reinforcement learning with function approximation and asynchronous communication,candidate_10,5,5,1.4,0.4899,0.2449,1.6,0.4899,0.2449,1.2,0.4,0.2,0.8,0.4,0.2,1.0,0.0,0.0,2.2,0.7483,0.3742,2.2,0.4,0.2,3.2,0.4,0.2,1.2,0.7483,0.3742,1.6,0.4899,0.2449
MOOSE_STAR_PUBLIC_MODEL,bandits,moose_star_public_bandits_003,MOOSE-Star hypothesis from Leveraging the order preservation property in Set-Size Dependent Combinatorial Bandits (SDMAB) to enhance exploration efficiency.,candidate_01,5,5,2.0,0.6325,0.3162,2.8,0.4,0.2,1.6,0.4899,0.2449,1.6,0.8,0.4,1.6,0.4899,0.2449,3.4,0.4899,0.2449,4.4,1.2,0.6,4.2,0.9798,0.4899,1.6,0.4899,0.2449,2.2,0.7483,0.3742
MOOSE_STAR_PUBLIC_MODEL,in_context_learning,moose_star_public_in_context_learning_001,MOOSE-Star hypothesis from Synthetic Noise Injection for In-Context Reinforcement Learning (ICRL),candidate_03,5,5,1.8,0.4,0.2,2.8,0.4,0.2,1.8,0.4,0.2,2.2,0.7483,0.3742,1.8,0.4,0.2,2.8,0.7483,0.3742,3.4,1.4967,0.7483,4.2,0.9798,0.4899,1.6,0.4899,0.2449,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,in_context_learning,moose_star_public_in_context_learning_002,MOOSE-Star hypothesis from Task-Inherent Attribute Guidelines (LongGuide) for Enhanced Long-form Generation,candidate_17,5,5,2.2,0.4,0.2,2.8,0.4,0.2,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.6,0.4899,0.2449,2.8,0.7483,0.3742,4.0,1.0954,0.5477,4.8,1.3266,0.6633,1.6,0.8,0.4,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,in_context_learning,moose_star_public_in_context_learning_003,MOOSE-Star hypothesis from Linear Attention Mechanism for Efficient In-Context Learning,candidate_26,5,5,1.8,0.4,0.2,2.6,0.4899,0.2449,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.6,0.4899,0.2449,2.8,0.7483,0.3742,3.2,0.9798,0.4899,3.6,0.8,0.4,1.6,0.8,0.4,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,in_context_learning,moose_star_public_in_context_learning_004,MOOSE-Star hypothesis from State-space models (SSMs) with gradient accumulation mechanism,candidate_05,5,5,1.4,0.4899,0.2449,2.0,0.6325,0.3162,1.2,0.4,0.2,1.0,0.0,0.0,1.2,0.4,0.2,2.4,0.8,0.4,2.4,0.4899,0.2449,3.4,0.4899,0.2449,1.2,0.4,0.2,1.8,0.4,0.2
MOOSE_STAR_PUBLIC_MODEL,offline_reinforcement_learning_arxiv,moose_star_public_offline_reinforcement_learning_arxiv_001,MOOSE-Star hypothesis from Behavior-Regularized Diffusion Policy Optimization (BDPO),candidate_12,5,5,2.2,0.4,0.2,3.4,0.4899,0.2449,2.0,0.6325,0.3162,1.8,0.4,0.2,2.0,0.6325,0.3162,3.2,0.4,0.2,3.2,0.7483,0.3742,4.4,0.8,0.4,1.6,0.4899,0.2449,2.4,0.4899,0.2449
MOOSE_STAR_PUBLIC_MODEL,reasoning_models_test_time_compute,moose_star_public_reasoning_models_test_time_compute_001,MOOSE-Star hypothesis from Integration of symbolic reasoning with large language models (LLMs) to enhance their performance on first-order combinatorial reasoning problems.,candidate_28,5,5,1.8,0.4,0.2,2.6,0.4899,0.2449,1.6,0.4899,0.2449,1.2,0.4,0.2,1.4,0.4899,0.2449,3.2,0.7483,0.3742,2.6,0.4899,0.2449,4.0,0.8944,0.4472,1.4,0.4899,0.2449,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_001,MOOSE-Star hypothesis from Semi-Supervised Conformal Prediction with Unlabeled Nonconformity Scores,candidate_04,5,5,2.0,0.0,0.0,2.6,0.4899,0.2449,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.6,0.4899,0.2449,3.2,0.7483,0.3742,2.8,0.7483,0.3742,4.0,0.8944,0.4472,1.6,0.4899,0.2449,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_002,MOOSE-Star hypothesis from Symmetrization of Conformity Scores for CounterfactuallyFairUncertaintyQuantification,candidate_24,5,5,2.0,0.6325,0.3162,2.8,0.7483,0.3742,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.8,0.7483,0.3742,3.4,0.4899,0.2449,2.8,0.7483,0.3742,4.0,0.8944,0.4472,1.6,0.4899,0.2449,2.0,0.6325,0.3162
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_003,MOOSE-Star hypothesis from Selective Classification for Uncertainty Handling in Conformal Predictions,candidate_18,5,5,1.8,0.4,0.2,1.8,0.4,0.2,1.4,0.4899,0.2449,1.2,0.4,0.2,1.2,0.4,0.2,2.8,0.4,0.2,2.6,0.4899,0.2449,3.2,0.7483,0.3742,1.4,0.4899,0.2449,1.8,0.4,0.2
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_004,"MOOSE-Star hypothesis from Integration of optimization algorithms (GWO, BO, PSO) and uncertainty-aware loss function into Monte Carlo Dropout (MCD) for enhanced uncertainty quantification.",candidate_23,5,5,2.0,0.0,0.0,3.0,0.6325,0.3162,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.8,0.4,0.2,3.2,0.4,0.2,3.2,0.4,0.2,3.2,0.4,0.2,1.4,0.4899,0.2449,2.0,0.0,0.0
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_005,MOOSE-Star hypothesis from Conditional generative models for efficient uncertainty quantification and model calibration,candidate_09,5,5,1.4,0.4899,0.2449,2.0,0.6325,0.3162,1.2,0.4,0.2,1.4,0.4899,0.2449,1.2,0.4,0.2,2.2,0.4,0.2,2.4,0.4899,0.2449,3.4,0.4899,0.2449,1.4,0.4899,0.2449,1.8,0.4,0.2
MOOSE_STAR_PUBLIC_MODEL,uncertainty_calibration_conformal_prediction_arxiv,moose_star_public_uncertainty_calibration_conformal_prediction_arxiv_006,MOOSE-Star hypothesis from Adversarial Training and Conformal Prediction for Robust Uncertainty Quantification in Collaborative Object Detection,candidate_02,5,5,2.2,0.4,0.2,2.8,0.4,0.2,1.6,0.4899,0.2449,1.4,0.4899,0.2449,1.6,0.4899,0.2449,3.2,0.4,0.2,3.6,0.4899,0.2449,3.6,0.4899,0.2449,1.6,0.4899,0.2449,2.4,0.4899,0.2449
