criterion,method,n,mean_rank,rank1_count
clarity_specificity,NATIVE_AI_SCIENTIST_V2,5,2.8,0
clarity_specificity,QWEN_RAG,5,2.0,1
clarity_specificity,SGHA_FULL,5,1.6,4
clarity_specificity,SIMPLE_QWEN,5,3.6,0
significance,NATIVE_AI_SCIENTIST_V2,5,2.8,1
significance,QWEN_RAG,5,2.2,0
significance,SGHA_FULL,5,1.4,4
significance,SIMPLE_QWEN,5,3.6,0
novelty_potential,NATIVE_AI_SCIENTIST_V2,5,2.4,1
novelty_potential,QWEN_RAG,5,2.0,1
novelty_potential,SGHA_FULL,5,1.8,3
novelty_potential,SIMPLE_QWEN,5,3.8,0
feasibility,NATIVE_AI_SCIENTIST_V2,5,2.4,1
feasibility,QWEN_RAG,5,1.4,4
feasibility,SGHA_FULL,5,2.6,0
feasibility,SIMPLE_QWEN,5,3.6,0
evidence_grounding,NATIVE_AI_SCIENTIST_V2,5,3.0,0
evidence_grounding,QWEN_RAG,5,1.8,2
evidence_grounding,SGHA_FULL,5,1.8,3
evidence_grounding,SIMPLE_QWEN,5,3.4,0
formalizability,NATIVE_AI_SCIENTIST_V2,5,3.2,0
formalizability,QWEN_RAG,5,2.2,0
formalizability,SGHA_FULL,5,1.0,5
formalizability,SIMPLE_QWEN,5,3.6,0
non_incrementality,NATIVE_AI_SCIENTIST_V2,5,2.6,1
non_incrementality,QWEN_RAG,5,2.0,1
non_incrementality,SGHA_FULL,5,1.6,3
non_incrementality,SIMPLE_QWEN,5,3.8,0
actionability,NATIVE_AI_SCIENTIST_V2,5,2.2,2
actionability,QWEN_RAG,5,1.6,3
actionability,SGHA_FULL,5,2.6,0
actionability,SIMPLE_QWEN,5,3.6,0
low_term_soup,NATIVE_AI_SCIENTIST_V2,5,3.0,0
low_term_soup,QWEN_RAG,5,2.0,1
low_term_soup,SGHA_FULL,5,1.6,4
low_term_soup,SIMPLE_QWEN,5,3.4,0
auditability_overall,NATIVE_AI_SCIENTIST_V2,5,3.0,0
auditability_overall,QWEN_RAG,5,2.0,1
auditability_overall,SGHA_FULL,5,1.6,4
auditability_overall,SIMPLE_QWEN,5,3.4,0
pursuit_priority,NATIVE_AI_SCIENTIST_V2,5,2.6,1
pursuit_priority,QWEN_RAG,5,2.2,0
pursuit_priority,SGHA_FULL,5,1.4,4
pursuit_priority,SIMPLE_QWEN,5,3.8,0
