domain,candidate_id,title,evolution_rank,evolution_score,source_artifact_path
bandits,evolutionary_bandits_rank01_hypothesis_d698748f53977669,A unified robust contextual bandit framework.,1,0.9882669979856874,[MAIN_SGHA_BANDITS_RUN]/final_evolution_report/ranked_hypotheses.json
bandits,evolutionary_bandits_rank02_hypothesis_fbbcec26b3dde196,A unified partial-feedback algorithm integrating drift-aware structural regularization with heavy-tailed robustness.,2,0.9763295094377796,[MAIN_SGHA_BANDITS_RUN]/final_evolution_report/ranked_hypotheses.json
bandits,evolutionary_bandits_rank03_hypothesis_beacc11a684a4bcd,A unified partial-feedback algorithm integrating structural regularization with heavy-tailed robustness.,3,0.975250841060586,[MAIN_SGHA_BANDITS_RUN]/final_evolution_report/ranked_hypotheses.json
in_context_learning,evolutionary_in_context_learning_rank01_hypothesis_00f6e83701fa8047,LoRA-adapted transformer models performing in-context learning.,1,1.0,[MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/final_evolution_report/ranked_hypotheses.json
in_context_learning,evolutionary_in_context_learning_rank02_hypothesis_55bd5a39586f0ae5,LoRA adaptation on Linear Transformers,2,0.9998162262695368,[MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/final_evolution_report/ranked_hypotheses.json
in_context_learning,evolutionary_in_context_learning_rank03_hypothesis_70873012f78cdcf8,Transformer,3,0.9911760784868157,[MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/final_evolution_report/ranked_hypotheses.json
in_context_learning,evolutionary_in_context_learning_rank04_hypothesis_fa173b09151ef4cd,Few-shot in-context learning with parameter-efficient fine-tuning,4,0.99038397575911,[MAIN_SGHA_IN_CONTEXT_LEARNING_RUN]/final_evolution_report/ranked_hypotheses.json
reasoning_models_test_time_compute,evolutionary_reasoning_models_test_time_compute_rank01_hypothesis_8c830430218e7a3d,Self-verification mechanisms within test-time compute scaling frameworks.,1,1.0,[MAIN_SGHA_REASONING_MODELS_TEST_TIME_COMPUTE_RUN]/final_evolution_report/ranked_hypotheses.json
offline_reinforcement_learning_arxiv,evolutionary_offline_reinforcement_learning_arxiv_rank01_hypothesis_8b2ad05e2395a200,Offline Q-learning evaluation and algorithm certification frameworks.,1,1.0,[MAIN_SGHA_OFFLINE_REINFORCEMENT_LEARNING_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank01_hypothesis_df9fff9fcc33f2bb,Calibration-Efficient Preconditioned Conformal Prediction.,1,0.9935789589220564,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank02_hypothesis_dce7920092167909,High-Dimensional Preconditioned Conformal Prediction.,2,0.986077609994023,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank03_hypothesis_6ae4546910f72632,adjacent domain for Implicit conflict on 'computational cost': positive evidence (addresses) vs negative evidence (limited_by) across papers,3,0.927670777310702,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank04_hypothesis_48336230fab99b9c,"Shift-robust, single-pass conformal prediction systems.",4,0.9837705926890913,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank05_hypothesis_e48e70c744a8f846,Split Conformal Prediction,5,0.955562519153689,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
uncertainty_calibration_conformal_prediction_arxiv,evolutionary_uncertainty_calibration_conformal_prediction_arxiv_rank06_hypothesis_7baf83e71442baf9,Preconditioned Single-Forward Conformal Prediction with Exchangeability Adjustment.,6,0.9768134552614034,[MAIN_SGHA_UNCERTAINTY_CALIBRATION_CONFORMAL_PREDICTION_ARXIV_RUN]/final_evolution_report/ranked_hypotheses.json
