relative_path,artifact_type,source_description_sanitized,contains_candidate_text,contains_judge_scores,contains_table_data,contains_profile_artifacts,contains_evolution_artifacts,contains_sensitivity_artifacts,contains_raw_pdf_or_full_text,contains_raw_llm_logs,notes
ARTIFACT_LICENSE.md,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
CHECKSUMS.sha256,checksum_manifest,public artifact checksum manifest,false,false,false,false,false,false,false,false,included in public paper artifact bundle
MANIFEST.csv,manifest,public artifact manifest,false,false,true,false,false,false,false,false,included in public paper artifact bundle
README.md,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
SECRET_LEAKAGE_CHECK.md,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
SOURCE_NOTES_SANITIZED.md,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/bandits_ai_scientist_claude_opus_latest_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/bandits_ai_scientist_claude_opus_latest_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/bandits_best_example.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/in_context_learning_ai_scientist_claude_opus_latest_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/in_context_learning_ai_scientist_claude_opus_latest_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/native_ai_scientist_v2_claude_opus_latest_counts.csv,baseline_result,paper baseline result artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/offline_reinforcement_learning_arxiv_ai_scientist_claude_opus_latest_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/offline_reinforcement_learning_arxiv_ai_scientist_claude_opus_latest_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/reasoning_models_test_time_compute_ai_scientist_claude_opus_latest_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/reasoning_models_test_time_compute_ai_scientist_claude_opus_latest_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/uncertainty_calibration_conformal_prediction_arxiv_ai_scientist_claude_opus_latest_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_claude_opus/uncertainty_calibration_conformal_prediction_arxiv_ai_scientist_claude_opus_latest_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/AI_SCIENTIST_V2_QWEN_BASELINE_ALL5_REPORT.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/bandits_ai_scientist_native_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/bandits_ai_scientist_native_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/bandits_best_example.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/in_context_learning_ai_scientist_native_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/in_context_learning_ai_scientist_native_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/native_ai_scientist_v2_all5_summary.csv,baseline_result,paper baseline result artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/native_ai_scientist_v2_comparison_summary.csv,baseline_result,paper baseline result artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/offline_reinforcement_learning_arxiv_ai_scientist_native_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/offline_reinforcement_learning_arxiv_ai_scientist_native_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/reasoning_models_test_time_compute_ai_scientist_native_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/reasoning_models_test_time_compute_ai_scientist_native_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/uncertainty_calibration_conformal_prediction_arxiv_ai_scientist_native_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/ai_scientist_v2_qwen/uncertainty_calibration_conformal_prediction_arxiv_ai_scientist_native_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
