domain,method,n,mean_problem_definition_clarity_10,std_problem_definition_clarity_10,se_problem_definition_clarity_10,mean_technical_specificity_10,std_technical_specificity_10,se_technical_specificity_10,mean_well_posedness_10,std_well_posedness_10,se_well_posedness_10,mean_assumption_boundary_clarity_10,std_assumption_boundary_clarity_10,se_assumption_boundary_clarity_10,mean_formalizability_10,std_formalizability_10,se_formalizability_10,mean_nontriviality_10,std_nontriviality_10,se_nontriviality_10,mean_scope_control_10,std_scope_control_10,se_scope_control_10,mean_source_grounded_specificity_10,std_source_grounded_specificity_10,se_source_grounded_specificity_10,mean_ambiguity_hygiene_10,std_ambiguity_hygiene_10,se_ambiguity_hygiene_10,mean_overall_formulation_quality_10,std_overall_formulation_quality_10,se_overall_formulation_quality_10
bandits,MOOSE_STAR_PUBLIC_MODEL,15,1.7333,0.5735,0.1533,2.1333,0.6182,0.1652,1.3333,0.4714,0.126,1.1333,0.6182,0.1652,1.2667,0.4422,0.1182,2.7333,0.7717,0.2063,3.2667,1.1813,0.3157,3.4667,0.8844,0.2364,1.4,0.611,0.1633,1.9333,0.6799,0.1817
bandits,SGHA_FULL,15,6.4,0.7118,0.1902,5.3333,0.6992,0.1869,5.0,0.8165,0.2182,6.2,1.222,0.3266,4.9333,0.7717,0.2063,6.7333,0.8537,0.2282,5.0,1.7512,0.468,5.2667,0.8537,0.2282,7.8,0.4,0.1069,5.4667,0.6182,0.1652
in_context_learning,MOOSE_STAR_PUBLIC_MODEL,20,1.8,0.5099,0.117,2.55,0.5895,0.1352,1.55,0.4975,0.1141,1.5,0.6708,0.1539,1.55,0.4975,0.1141,2.7,0.781,0.1792,3.25,1.2196,0.2798,4.0,1.0954,0.2513,1.5,0.6708,0.1539,1.95,0.5895,0.1352
in_context_learning,SGHA_FULL,20,6.3,0.6403,0.1469,5.2,0.6782,0.1556,5.05,0.669,0.1535,6.15,0.7921,0.1817,4.95,0.4975,0.1141,6.05,0.8047,0.1846,4.7,1.6155,0.3706,5.25,1.0428,0.2392,7.55,0.5895,0.1352,5.4,0.4899,0.1124
offline_reinforcement_learning_arxiv,MOOSE_STAR_PUBLIC_MODEL,5,2.2,0.4,0.2,3.4,0.4899,0.2449,2.0,0.6325,0.3162,1.8,0.4,0.2,2.0,0.6325,0.3162,3.2,0.4,0.2,3.2,0.7483,0.3742,4.4,0.8,0.4,1.6,0.4899,0.2449,2.4,0.4899,0.2449
offline_reinforcement_learning_arxiv,SGHA_FULL,5,6.4,0.4899,0.2449,5.8,0.4,0.2,5.2,0.7483,0.3742,6.4,0.8,0.4,5.2,0.7483,0.3742,5.4,0.4899,0.2449,7.2,0.4,0.2,6.0,0.6325,0.3162,7.6,0.4899,0.2449,5.8,0.4,0.2
reasoning_models_test_time_compute,MOOSE_STAR_PUBLIC_MODEL,5,1.8,0.4,0.2,2.6,0.4899,0.2449,1.6,0.4899,0.2449,1.2,0.4,0.2,1.4,0.4899,0.2449,3.2,0.7483,0.3742,2.6,0.4899,0.2449,4.0,0.8944,0.4472,1.4,0.4899,0.2449,2.0,0.6325,0.3162
reasoning_models_test_time_compute,SGHA_FULL,5,7.0,0.6325,0.3162,5.8,0.4,0.2,5.6,0.8,0.4,7.2,0.4,0.2,5.4,0.4899,0.2449,7.2,0.7483,0.3742,7.2,0.4,0.2,6.0,0.6325,0.3162,8.2,0.4,0.2,6.2,0.4,0.2
uncertainty_calibration_conformal_prediction_arxiv,MOOSE_STAR_PUBLIC_MODEL,30,1.9,0.4726,0.0878,2.5,0.7188,0.1335,1.5,0.5,0.0928,1.3667,0.4819,0.0895,1.5333,0.5617,0.1043,3.0,0.6325,0.1174,2.9,0.7,0.13,3.5667,0.7608,0.1413,1.5,0.5,0.0928,2.0,0.5164,0.0959
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,30,6.4667,0.6182,0.1148,5.6333,0.5467,0.1015,5.3,0.8226,0.1528,5.9667,0.7951,0.1477,5.1667,0.7782,0.1445,6.2,1.0132,0.1882,5.0333,1.6428,0.3051,5.0333,1.1101,0.2061,7.5667,0.7608,0.1413,5.5333,0.6182,0.1148
