domain,method,n,mean_problem_definition_clarity_10,std_problem_definition_clarity_10,se_problem_definition_clarity_10,mean_technical_specificity_10,std_technical_specificity_10,se_technical_specificity_10,mean_well_posedness_10,std_well_posedness_10,se_well_posedness_10,mean_assumption_boundary_clarity_10,std_assumption_boundary_clarity_10,se_assumption_boundary_clarity_10,mean_formalizability_10,std_formalizability_10,se_formalizability_10,mean_nontriviality_10,std_nontriviality_10,se_nontriviality_10,mean_scope_control_10,std_scope_control_10,se_scope_control_10,mean_source_grounded_specificity_10,std_source_grounded_specificity_10,se_source_grounded_specificity_10,mean_ambiguity_hygiene_10,std_ambiguity_hygiene_10,se_ambiguity_hygiene_10,mean_overall_formulation_quality_10,std_overall_formulation_quality_10,se_overall_formulation_quality_10
bandits,NATIVE_AI_SCIENTIST_V2,3,6.6667,0.5774,0.3334,5.6667,0.5774,0.3334,4.0,0.0,0.0,4.6667,0.5774,0.3334,4.6667,0.5774,0.3334,7.0,1.0,0.5774,7.3333,0.5774,0.3334,4.6667,1.1547,0.6667,4.0,0.0,0.0,5.0,0.0,0.0
bandits,SGHA_FULL,3,7.6667,0.5774,0.3334,6.6667,0.5774,0.3334,6.3333,0.5774,0.3334,7.3333,0.5774,0.3334,6.3333,0.5774,0.3334,7.6667,0.5774,0.3334,6.0,2.0,1.1547,8.0,0.0,0.0,7.3333,0.5774,0.3334,6.3333,0.5774,0.3334
in_context_learning,NATIVE_AI_SCIENTIST_V2,4,6.5,0.5774,0.2887,5.0,0.8165,0.4083,3.75,0.5,0.25,4.5,0.5774,0.2887,4.25,0.9574,0.4787,7.0,0.0,0.0,6.5,1.291,0.6455,4.25,1.2583,0.6291,3.75,0.5,0.25,4.75,0.5,0.25
in_context_learning,SGHA_FULL,4,7.25,0.5,0.25,6.25,0.5,0.25,6.25,0.9574,0.4787,7.75,0.5,0.25,6.25,0.5,0.25,6.75,0.5,0.25,4.75,2.2174,1.1087,7.75,0.5,0.25,7.75,0.5,0.25,6.25,0.5,0.25
offline_reinforcement_learning_arxiv,NATIVE_AI_SCIENTIST_V2,1,7.0,,,6.0,,,4.0,,,5.0,,,5.0,,,7.0,,,8.0,,,6.0,,,4.0,,,5.0,,
offline_reinforcement_learning_arxiv,SGHA_FULL,1,8.0,,,7.0,,,7.0,,,8.0,,,7.0,,,6.0,,,8.0,,,8.0,,,8.0,,,7.0,,
reasoning_models_test_time_compute,NATIVE_AI_SCIENTIST_V2,1,6.0,,,5.0,,,4.0,,,3.0,,,4.0,,,6.0,,,6.0,,,4.0,,,3.0,,,5.0,,
reasoning_models_test_time_compute,SGHA_FULL,1,8.0,,,7.0,,,7.0,,,8.0,,,7.0,,,8.0,,,8.0,,,8.0,,,7.0,,,7.0,,
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,6,6.6667,0.5164,0.2108,5.6667,0.5164,0.2108,4.0,0.0,0.0,4.5,0.8367,0.3416,4.5,0.5477,0.2236,6.5,0.5477,0.2236,6.6667,1.3663,0.5578,4.0,0.0,0.0,3.8333,0.4082,0.1666,5.0,0.0,0.0
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,6,7.1667,0.4082,0.1666,6.5,0.8367,0.3416,6.1667,1.169,0.4772,7.1667,1.169,0.4772,6.1667,1.169,0.4772,6.8333,0.9832,0.4014,5.8333,2.0412,0.8333,8.0,0.0,0.0,7.5,0.5477,0.2236,6.3333,0.8165,0.3333
