domain,method,original_candidate_id,blinded_candidate_id,title,clarity_specificity,significance,novelty_potential,feasibility,evidence_grounding,formalizability,non_incrementality,actionability,low_term_soup,auditability_overall,pursuit_priority,best_overall,most_auditable,most_actionable,most_novel_potential
bandits,SGHA_FULL,family:01,Candidate 1,Characterizing Identifiability Limits of Structured Bandits Under Piecewise Non-Stationarity,1,1,1,2,1,1,1,2,1,1,1,True,True,False,True
bandits,QWEN_RAG,qwen_rag_001,Candidate 2,Robust Contextual Dueling Bandits with Adversarial Preference Corruption via Uncertainty-Aware Smoothing,2,2,2,1,2,2,2,1,2,2,2,False,False,True,False
bandits,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Candidate 3,Time-Varying Feedback Quality in Bandits: Adaptive Exploration with Uncertain Information Channels,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
bandits,SIMPLE_QWEN,simple_qwen_001,Candidate 4,Trust-Aware Robust Best-Arm Identification in Data-Starved Cooperative Multi-Agent Bandits with Latent Features,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
in_context_learning,SGHA_FULL,family:02,Candidate 1,Characterizing the Fundamental Robustness Boundary of Autoregressive and Masked In-Context Learning,1,1,3,2,1,1,3,2,1,1,1,True,True,False,False
in_context_learning,QWEN_RAG,qwen_rag_001,Candidate 2,Robust Induction Head Pruning for Distribution-Shifted In-Context Learning,2,2,2,1,2,2,2,1,2,2,2,False,False,True,False
in_context_learning,SIMPLE_QWEN,simple_qwen_001,Candidate 3,Contextual Bayesian Calibration: Disentangling Task Priors from Contextual Evidence in ICL,3,3,4,4,3,3,4,4,3,3,4,False,False,False,False
in_context_learning,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_002,Candidate 4,Teaching by What NOT to Do: Negative Demonstrations for Robust In-Context Learning,4,4,1,3,4,4,1,3,4,4,3,False,False,False,True
offline_reinforcement_learning_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Candidate 1,Density-Adaptive Conservative Value Functions for Offline Reinforcement Learning,2,2,2,1,2,2,3,1,2,2,2,False,False,True,False
offline_reinforcement_learning_arxiv,SGHA_FULL,family:01,Candidate 2,Characterizing the Failure Regime of Q-Learning in Offline RL via Distributional Shift,1,1,3,2,1,1,2,2,1,1,1,True,True,False,False
offline_reinforcement_learning_arxiv,QWEN_RAG,qwen_rag_001,Candidate 3,Certified Robust Offline RL from Visual Observations via Causal Mode Selection,3,3,1,3,3,3,1,3,3,3,3,False,False,False,True
offline_reinforcement_learning_arxiv,SIMPLE_QWEN,simple_qwen_001,Candidate 4,Confounding-Robust and Imbalanced Offline RL via Structured Retrieval and Domain-Invariant Dynamics,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
reasoning_models_test_time_compute,QWEN_RAG,qwen_rag_001,Candidate 1,Adaptive Compute Allocation for Verification-Driven Self-Improvement: Balancing Generator and Verifier Scaling,1,2,2,1,1,2,2,1,1,1,2,True,True,True,False
reasoning_models_test_time_compute,SIMPLE_QWEN,simple_qwen_001,Candidate 2,Dynamic Reasoning Depth Allocation via Reinforcement Learning for Test-Time Compute Optimization,3,3,3,2,2,3,3,2,2,2,3,False,False,False,False
reasoning_models_test_time_compute,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Candidate 3,Adaptive Test-Time Compute: Dynamically Allocating Reasoning Effort Based on Problem Uncertainty,2,4,4,3,3,4,4,3,3,3,4,False,False,False,False
reasoning_models_test_time_compute,SGHA_FULL,family:01,Candidate 4,Characterizing the Identifiability Boundary of Bootstrapped Reasoning under Unverifiable Feedback,4,1,1,4,4,1,1,4,4,4,1,False,False,False,True
uncertainty_calibration_conformal_prediction_arxiv,QWEN_RAG,qwen_rag_001,Candidate 1,Noise-Robust Graph Conformal Prediction: Leveraging Topological Stability for Non-i.i.d. Coverage Guarantees,2,2,3,1,1,2,3,2,2,2,2,False,False,False,False
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:04,Candidate 2,Calibrating Conformal Prediction Under Arbitrary Covariate Shift via Invariant Coverage Mechanisms,1,3,1,3,2,1,1,3,1,1,3,False,True,False,True
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_005,Candidate 3,Fair Conformal Prediction: Subgroup-Aware Uncertainty Quantification with Coverage Guarantees,3,1,2,2,3,3,2,1,3,3,1,True,False,True,False
uncertainty_calibration_conformal_prediction_arxiv,SIMPLE_QWEN,simple_qwen_005,Candidate 4,Self-Calibrating Conformal Prediction for Multi-Output Anatomical Landmark Localization with Joint Validity,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
