candidate_id,original_candidate_id,domain,method,title,problem_definition_clarity_10,technical_specificity_10,well_posedness_10,assumption_boundary_clarity_10,formalizability_10,nontriviality_10,scope_control_10,source_grounded_specificity_10,ambiguity_hygiene_10,overall_formulation_quality_10,recommended_action,confidence,strengths,weaknesses,cap_violations,rationale,novelty_caveat
candidate_001,native_ai_scientist_v2_claude_opus_latest_bandits_001,bandits,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Exploration Is a Broadcast Channel: Property Inference from Bandit Action Logs and the Regret-Secrecy Frontier,7,8,5,4,5,8,6,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core insight that bandit action sequences leak information about learned reward structure"", ""Specific technical targets: optimal arm identification and gap vector estimation from action logs only"", ""Novel framing of regret-secrecy tradeoff as fundamental limitation"", ""Concrete attack models specified (likelihood attacks on UCB/successive elimination, SMC for Thompson Sampling)"", ""Quantitative bounds provided (O(R_T / (Delta T)) error probability relationship)""]","[""Missing formal problem statement violates formalizability requirements"", ""Key technical objects like 'aggregate secrecy', 'epsilon-secrecy', and 'gap vector' lack precise definitions"", ""Assumption boundaries unclear - what bandit settings, reward distributions, or algorithm classes are assumed"", ""No explicit source grounding provided beyond vague corpus reference"", ""Scope somewhat broad, combining attack analysis, fundamental limits, algorithm design, and empirical validation""]",[],"This formulation presents a genuinely novel and non-trivial research direction by reframing bandit privacy through the lens of action sequence observability rather than traditional differential privacy. The technical specificity is strong with concrete attack models and quantitative relationships. However, the absence of formal problem statements, precise definitions of key concepts, and explicit assumptions significantly limits well-posedness and formalizability. The scope, while focused on a central theme, spans multiple research directions that could benefit from tighter integration.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_002,native_ai_scientist_v2_claude_opus_latest_bandits_002,bandits,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,One Bit Per Pull: The Bit Complexity of Bandit Exploration and the Optimal Granularity of Feedback,7,8,5,6,5,8,7,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core problem: bit complexity vs sample complexity in bandit learning with quantized feedback"", ""Strong technical specificity with concrete claims about regret bounds and bit requirements"", ""Novel perspective on resource constraints in bandit problems beyond pull count"", ""Well-controlled scope focusing on bit-budgeted bandits rather than general resource constraints"", ""Concrete hypotheses about adaptive vs non-adaptive quantization performance""]","[""Missing formal problem statement despite complex technical claims"", ""No explicit problem setup or assumptions provided"", ""Ambiguity and missing definitions not acknowledged"", ""Minimal source context grounding - only mentions 'domain corpus' without specifics"", ""Key technical terms like 'adaptive-window dithering' and exact quantizer definitions undefined"", ""Cannot verify formalizability without explicit mathematical framework""]",[],"This formulation presents a compelling and novel research direction that reframes bandit complexity through the lens of measurement costs rather than sample costs. The technical claims are specific and testable, with concrete regret bounds and bit requirements stated. However, the formulation suffers from missing critical components: no formal problem statement, undefined assumptions, and unacknowledged ambiguities in key technical terms. While the core idea is strong and the scope is well-controlled, the lack of formal grounding prevents this from being a complete research problem formulation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_003,native_ai_scientist_v2_claude_opus_latest_bandits_003,bandits,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Whose Scale Is It Anyway? Monotone-Robust Bandits with Utility Elicitation,7,8,5,4,5,8,6,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a fundamental problem: bandit algorithms' sensitivity to arbitrary ordinal encodings"", ""Specific technical framework: monotone-robust bandits with utility elicitation"", ""Concrete mathematical objects: first-order stochastic dominance, minimax regret, zero-sum games"", ""Non-trivial insight about rank reversals and non-transitive cycles in ordinal feedback"", ""Specific complexity bounds: O(L log 1/eps) queries independent of arms and horizon"", ""Well-motivated real-world problem affecting deployed systems""]","[""Missing formal problem statement despite complex technical setup"", ""No explicit assumptions or problem setup provided"", ""Ambiguity around key definitions not acknowledged"", ""Limited source context grounding - only mentions 'domain corpus' without specifics"", ""Combines multiple concepts (robust bandits, utility elicitation, empirical auditing) reducing focus"", ""Cannot assess well-posedness without formal variable definitions and objective specification""]",[],"This formulation identifies a genuinely important and non-trivial problem: the arbitrary nature of ordinal-to-numerical mappings in bandit settings and their impact on arm selection. The technical specificity is strong, with concrete mathematical frameworks (stochastic dominance, minimax regret) and specific complexity results. However, the absence of formal problem statement, assumptions, and acknowledged ambiguities significantly limits the formulation's rigor. The scope spans multiple related but distinct concepts, and the source grounding is vague. While the core insight is compelling and the technical direction appears sound, substantial refinement is needed to achieve a well-posed research problem.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_004,native_ai_scientist_v2_claude_opus_latest_in_context_learning_001,in_context_learning,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,When the Rule Changes Mid-Prompt: Stale-Evidence Anchoring in In-Context Learning and a Cheap Cure,7,8,5,4,5,6,7,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a specific phenomenon: stale-evidence anchoring in ICL when rules change mid-prompt"", ""Concrete technical prediction about scaling behavior (n_post/(n_pre+n_post) ratio)"", ""Well-defined experimental setup with controlled benchmark of drifting prompts"", ""Specific mechanistic hypothesis about count-weighted blending in task-encoding heads"", ""Focused scope on a single coherent phenomenon rather than multiple loosely related concepts""]","[""Missing formal problem statement reduces formalizability and well-posedness"", ""No explicit assumptions or problem setup provided, limiting rigorous follow-up"", ""Ambiguity and missing definitions not acknowledged despite technical complexity"", ""Minimal source context grounding - only mentions 'domain corpus' without specific gaps or papers"", ""The core approach involves applying recency discounting to ICL, which fits the 'apply X to Y' pattern""]",[],"This formulation identifies a specific and interesting phenomenon in ICL with clear technical predictions and experimental design. The problem is well-bounded and addresses a gap in current ICL research which focuses on stationary tasks. However, the absence of formal problem statement, explicit assumptions, and acknowledgment of ambiguities significantly limits the rigor of the formulation. The mechanistic predictions and controlled experimental setup demonstrate good technical specificity, but the missing foundational elements prevent this from being a strong research problem formulation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_005,native_ai_scientist_v2_claude_opus_latest_in_context_learning_002,in_context_learning,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,What LLMs Fail to Learn From What Isn't So: Eliminative In-Context Learning and the Copy-Head Bottleneck,7,8,5,4,5,6,6,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core problem: asymmetry between positive and negative evidence learning in LLMs"", ""Specific technical framework with information-theoretic matching design"", ""Concrete mechanistic hypothesis about copy-head bottleneck"", ""Well-defined experimental paradigm with binary task information equivalence"", ""Quantifiable objective via comparison to Bayesian oracle efficiency""]","[""Missing formal problem statement reduces formalizability"", ""No explicit assumptions or problem setup provided"", ""Ambiguity and missing definitions not acknowledged"", ""Limited source context grounding beyond domain corpus"", ""Combines multiple concepts (mechanistic analysis, repair methods, meta-training) reducing focus"", ""Essentially tests known ICL mechanisms under negative evidence conditions""]",[],"The formulation presents a clear and technically specific research problem about negative evidence processing in in-context learning, with a well-designed information-theoretic framework. The mechanistic hypothesis about copy-heads provides concrete technical grounding. However, the absence of formal problem statement, explicit assumptions, and acknowledgment of ambiguities significantly limits well-posedness and formalizability. The scope spans multiple related but distinct investigations, and the core approach is testing existing ICL mechanisms under different conditions rather than fundamentally novel problem formulation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_006,native_ai_scientist_v2_claude_opus_latest_in_context_learning_003,in_context_learning,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Suspicious Coincidences Are Not Suspicious to LLMs: Testing the Sampling Assumption Behind In-Context Learning,7,8,5,4,6,8,7,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core hypothesis about sampling assumptions in LLMs with specific testable prediction (alpha ~ 0 vs alpha ~ 1)"", ""Technically specific formulation with concrete mathematical framework (p(x|h) ~ 1/|h|^alpha)"", ""Well-defined experimental paradigm using nested-hypothesis concept-learning with discriminative probe items"", ""Non-trivial insight connecting Bayesian likelihood assumptions to LLM generalization behavior"", ""Focused scope around a single interpretable parameter (sampling exponent alpha)"", ""Concrete examples provided (powers of two vs even numbers) that illustrate the core distinction""]","[""Missing formal problem statement violates hard cap for well_posedness and formalizability"", ""No explicit assumptions or problem setup provided, limiting assumption boundary clarity"", ""Ambiguity/missing definitions field not provided, capping ambiguity hygiene score"", ""Source context only mentions 'selected domain corpus' without specific grounding papers or gaps"", ""Key terms like 'size principle', 'strong/weak sampling', and 'generalization gradient' lack formal definitions"", ""The connection between meta-training data distribution and emergent alpha values needs clearer theoretical grounding""]",[],"This formulation presents a clear, testable hypothesis about a fundamental aspect of LLM behavior - their implicit sampling assumptions during in-context learning. The core insight that LLMs may assume weak rather than strong sampling is non-trivial and technically specific, with a concrete mathematical framework (the alpha exponent) for measurement. However, the formulation suffers from missing formal components required by the evaluation criteria. The absence of formal problem statement, explicit assumptions, and definitions of key terms limits the well-posedness and formalizability scores. While the research direction is promising and the experimental approach is well-conceived, substantial refinement is needed to provide the formal rigor expected of a strong research problem formulation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_007,native_ai_scientist_v2_claude_opus_latest_in_context_learning_004,in_context_learning,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Can In-Context Learners Learn a Distribution? Aleatoric Noise Blindness in ICL and an Activation-Level Cure,7,8,5,6,6,8,7,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a specific gap: ICL evaluation focuses only on deterministic tasks, not stochastic ones"", ""Precise technical formulation with measurable quantities (beta coefficient for aleatoric transmission, epsilon for epistemic sensitivity)"", ""Concrete hypothesis about 'noise blindness' with specific predictions (beta << 1, small epsilon)"", ""Well-defined experimental setup comparing model distributions to Bayesian posterior predictive"", ""Non-trivial research question that goes beyond applying existing methods to new domains""]","[""Missing formal problem statement violates hard cap requirements"", ""No explicit assumptions or problem setup provided, limiting well-posedness assessment"", ""Ambiguity and missing definitions not acknowledged despite technical complexity"", ""Source context limited to 'domain corpus' without specific grounding papers or gaps"", ""Some technical terms (aleatoric vs epistemic uncertainty, noise blindness) could benefit from more precise definition""]","[""apply_or_test_x_to_y_but_nontriviality_above_6""]","This formulation identifies a clear and specific research problem: whether LLMs can learn stochastic rules in context rather than just deterministic mappings. The technical approach is well-specified with concrete measurable quantities (beta and epsilon coefficients) and testable hypotheses. The problem is non-trivial, going beyond routine application of existing methods. However, the absence of formal problem statement, explicit assumptions, and acknowledgment of ambiguities significantly limits the formalization potential and well-posedness, preventing a higher overall score despite the strong core formulation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_008,native_ai_scientist_v2_claude_opus_latest_reasoning_models_test_time_compute_001,reasoning_models_test_time_compute,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,"N_eff: Error Correlation, Not Sample Count, Governs Parallel Test-Time Compute",7,8,5,4,6,8,6,3,4,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear core hypothesis that error correlation, not sample count, governs parallel test-time compute returns"", ""Specific mathematical framework with N_eff = N/(1+(N-1)rho) formula"", ""Well-defined technical objects: error correlation rho, marginal error rate p, effective sample size"", ""Concrete testable predictions about accuracy saturation and model behavior differences"", ""Non-trivial insight connecting reasoning training to higher error correlation"", ""Specific experimental setup with named models and benchmarks""]","[""Missing formal problem statement violates hard cap constraints"", ""No explicit assumptions about error correlation structure or independence conditions"", ""Ambiguous terms like 'solution-representation variation' and 'decorrelating operators' not defined"", ""Source context marked as 'not provided' limits grounding assessment"", ""Scope spans multiple sub-problems (measurement, hypothesis testing, intervention design)"", ""Missing boundary conditions for when the N_eff law applies or breaks down""]",[],"This formulation presents a clear and technically specific research problem with a concrete mathematical framework for understanding parallel test-time compute. The core hypothesis that error correlation governs scaling behavior is well-articulated and non-trivial. However, the absence of formal problem statement, explicit assumptions, and key definitions significantly limits the well-posedness and formalizability. The scope, while focused on error correlation, encompasses multiple research questions that could benefit from clearer delineation.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_009,native_ai_scientist_v2_claude_opus_latest_offline_reinforcement_learning_arxiv_001,offline_reinforcement_learning_arxiv,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Offline RL Should Read the Timestamps: Policy-Space Extrapolation Along the Data-Collection Improvement Direction,7,6,4,4,5,7,7,3,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,"[""Clear identification of a specific limitation in current offline RL: treating temporally ordered data as unordered bags of transitions"", ""Concrete hypothesis about policy-space extrapolation along improvement directions"", ""Well-defined technical approach with specific components (partitioning, progress-conditioned policy, extrapolation formula)"", ""Focused scope on temporal structure exploitation rather than bundling multiple concepts"", ""Non-trivial insight about leveraging intra-dataset ordering for policy improvement""]","[""Missing formal problem statement violates hard cap constraints on well_posedness and formalizability"", ""No explicit assumptions or problem setup provided, limiting assumption boundary clarity"", ""Ambiguity handling not addressed - key terms like 'improvement direction' and 'short distance' lack precise definitions"", ""Source grounding is vague - only mentions 'selected domain corpus' without specific papers or gaps"", ""Critical technical details undefined: what constitutes valid 'improvement direction', how to measure extrapolation distance, convergence conditions""]",[],"The formulation identifies a clear and specific problem in offline RL - the waste of temporal ordering information - and proposes a concrete technical approach. The core insight about policy-space extrapolation along data collection improvement directions is non-trivial and well-scoped. However, the absence of formal problem statement, explicit assumptions, and ambiguity acknowledgment significantly limits the formulation's rigor. While the technical approach is outlined, key mathematical objects and constraints remain undefined, making it difficult to assess well-posedness or cast as a formal problem without substantial additional specification.",Novelty potential judged only from provided text; no external novelty check performed.
candidate_010,native_ai_scientist_v2_claude_opus_latest_uncertainty_calibration_conformal_prediction_arxiv_001,uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2_CLAUDE_OPUS_LATEST,Self-Fulfilling Coverage: How Prediction Sets Corrupt the Labels That Calibrate Them,8,7,5,5,5,9,8,3,4,6,PROMISING_NEEDS_REFINEMENT,HIGH,"[""Clearly identifies a specific and important failure mode in conformal prediction deployment"", ""Articulates a concrete performative feedback mechanism with precise causal structure"", ""Poses testable hypotheses about threshold behavior and empirical manifestation"", ""Addresses a non-trivial gap between theory and practice in conformal prediction"", ""Well-scoped focus on endogeneity problem rather than bundling multiple issues"", ""Proposes specific detection and correction mechanisms""]","[""Missing formal problem statement despite clear mathematical structure being describable"", ""No explicit assumptions or problem setup provided, limiting rigorous analysis potential"", ""Ambiguity and missing definitions not acknowledged (e.g., 'anchoring threshold', 'true vs measured coverage')"", ""Source context grounding is vague - no specific papers or gaps identified"", ""Key technical objects like the anchoring function and recursion dynamics lack formal specification"", ""Cannot assess well-posedness without explicit variable definitions and objective statement""]",[],"This formulation identifies a compelling and non-trivial research problem about performative effects in conformal prediction that appears novel and important. The core issue - that showing prediction sets to annotators whose labels become calibration data creates a self-fulfilling coverage loop - is clearly articulated with specific hypotheses about threshold behavior. However, the formulation suffers from missing formal structure despite being highly formalizable, and lacks explicit acknowledgment of undefined terms. The hard caps apply: missing formal_problem_statement, assumptions_or_problem_setup, and ambiguity_or_missing_definitions limit several scores to ≤6, and vague source grounding limits that score to ≤4.",Novelty potential judged only from provided text; no external novelty check performed.
